asset_uid,asset_name,type,name,label::english (en),label::french (fr),hint::english (en),hint::french (fr),calculation,required,relevant,constraint,default,repeat_count,constraint_message::english (en),constraint_message::french (fr),appearance,choice_filter,parameters,_kuid,_qpath,question_order,_dlt_parent_id
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_16_exp_pet_calc,,,,,"if(selected(${H_16_0_exp_pet_yn},'cannot') or not(selected(${H_1_short_exp_types},'pet_care')),0,(${H_16_exp_pet}))",,,,,,,,,,,EzlWEFjrp,,223,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,H_17_exp_oth_calc,,,,,"if(selected(${H_17_0_exp_oth_yn},'cannot') or not(selected(${H_1_short_exp_types},'other')),0,(${H_17_exp_oth}))",,,,,,,,,,,dtD1xRyi1,,224,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,end_group,short_exp_types_group,,,,,,,,,,,,,,,,XqAZJfhhc,,225,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,calculate,total_short_exp_calc,,,,,"if(
  selected(${H_1_short_exp_types}, 'my_household_did_not_spend_any_money_over_the_last_30_days') or 
  selected(${H_1_short_exp_types}, 'do_not_know') or 
  selected(${H_1_short_exp_types}, 'prefer_not_to_answer'),
  0,
  (${H_3_exp_food_calc} + ${H_4_exp_clothing_calc} + ${H_5_exp_rent_calc} + ${H_6_exp_water_calc} + ${H_7_exp_fem_calc} + ${H_8_exp_hygiene_calc} + ${H_9_exp_nfi_calc} + ${H_10_exp_utilities_calc} + ${H_11_exp_transportation_calc} + ${H_12_exp_fuel_calc} + ${H_13_exp_communications_calc} + ${H_14_exp_childcare_calc} + ${H_15_exp_recreation_calc} + ${H_16_exp_pet_calc} + ${H_17_exp_oth_calc})
)",,,,,,,,,,,6tf6PrPkJ,,226,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_18_0_exp_heating_yn,,,,,,true,,,,,,,,,,sRD5o2kx6,,227,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,integer,H_18_exp_heating,,,,,,true,"selected(${H_18_0_exp_heating_yn},'yes')",(.>=100 and .<=200000) and not(.=999) or (.=0),,,,,,,,dYURqBLxH,,228,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_multiple long_exp_types,H_19_long_exp_types,,,,,,true,,"not((selected(.,'do_not_know') or selected(.,'prefer_not_to_answer') or selected(.,'my_household_did_not_spend_any_money_over_the_last_6_months')) and (count-selected(.)>1))",,,,,,,,rfFnOL9FK,,229,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,text,H_19_1_long_exp_types_other,,,,,,true,"selected(${H_19_long_exp_types}, 'other')",,,,,,,,,pUSPStoYR,,230,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,begin_group,long_exp_types_group,,,,,,,"not(selected(${H_19_long_exp_types},'my_household_did_not_spend_any_money_over_the_last_6_months') or selected(${H_19_long_exp_types},'do_not_know') or selected(${H_19_long_exp_types},'prefer_not_to_answer') or selected(${H_19_long_exp_types},''))",,,,,,,,,ZwviAzvO8,,231,hNTgnRf31uCmvw
aCdzAaiGS5hAyMukmda6FW,UKR2502_MSNA_2025,select_one yn,H_21_0_long_exp_shelter_yn,,,,,,true,"selected(${H_19_long_exp_types},'shelter_maintenance_or_repair')",,,,,,,,,gVPKAj68I,,232,hNTgnRf31uCmvw
